Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ANTIGUA AND BARBUDA,Americas,Thousands,107.0,107.0,108.0,122.0,129.0,128.0,139.0,141.0,152.0,138.5,138.5,146.6,154.3,152.0,155.0,151.0,165.9,153.2,176.3,197.8,84.8,115.3,171.6
ANTIGUA AND BARBUDA,East Asia and the Pacific,Thousands,,,,,,,,,,,,1.3,1.4,1.5,2.0,2.0,2.1,2.2,2.3,2.8,1.0,0.6,1.2
ANTIGUA AND BARBUDA,Europe,Thousands,90.0,78.0,82.0,99.0,113.0,108.0,107.0,115.0,110.0,93.4,89.0,92.0,90.0,88.0,91.0,96.0,96.1,90.5,88.8,98.2,38.5,52.6,90.1
ANTIGUA AND BARBUDA,Middle East,Thousands,,,,,,,,,,,,,,,,0.2,0.1,0.2,0.1,0.5,,0.1,0.3
ANTIGUA AND BARBUDA,South Asia,Thousands,,,,,,,,,,,,,,,,0.4,0.5,0.6,0.7,1.0,0.2,0.3,0.8
ANTIGUA AND BARBUDA,Other not classified,Thousands,9.0,8.0,8.0,4.0,3.0,9.0,8.0,6.0,4.0,2.3,2.4,1.3,1.3,1.3,1.0,,,0.2,0.1,0.2,0.4,0.1,0.1
ANTIGUA AND BARBUDA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,Total,Thousands,2909.0,2620.0,2821.0,2996.0,3456.0,3823.0,4173.0,4562.0,4700.0,4308.0,6799.6,6703.0,6497.2,6510.4,7165.400000000001,6815.7,6668.3,6711.2,6941.900000000001,7399.100000000001,2089.6,297.4,3889.7
ARGENTINA,Africa,Thousands,,,,,,,,,,,,,,,,,12.4,14.0,16.1,15.1,3.0,0.3,5.2
ARGENTINA,Americas,Thousands,2480.0,2157.0,2420.0,2425.0,2722.0,2984.0,3283.0,3609.0,3710.0,3392.0,5540.3,5461.5,5318.2,5386.6,6016.6,5655.6,5446.8,5512.5,5692.1,6043.8,1659.9,218.1,3323.4
ARGENTINA,East Asia and the Pacific,Thousands,,,,,,,,,,,,,,,,,209.0,210.7,226.8,231.5,67.9,2.7,34.1
ARGENTINA,Europe,Thousands,354.0,371.0,324.0,456.0,546.0,631.0,662.0,738.0,766.0,722.0,998.2,969.5,911.7,865.9,891.2,895.9,989.5,963.6,994.9,1096.5,356.8,75.9,522.5
ARGENTINA,Middle East,Thousands,,,,,,,,,,,,,,,,,1.0,0.8,1.0,0.8,0.2,,1.4
ARGENTINA,South Asia,Thousands,,,,,,,,,,,,,,,,,8.3,7.9,9.4,9.8,1.7,0.2,3.1
ARGENTINA,Other not classified,Thousands,75.0,92.0,77.0,115.0,188.0,208.0,228.0,215.0,224.0,194.0,261.1,272.0,267.3,257.9,257.6,264.2,1.3,1.7,1.6,1.6,0.1,0.2,0.0
