Country,Indicators,,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AZERBAIJAN,Passenger transport,,,US$ Millions,5.0,14.0,12.0,12.0,14.0,22.0,84.0,139.0,191.0,166.0,135.0,213.0,201.0,253.0,281.0,226.0,141.0,202.0,196.0,212.6,36.0,55.0,118.9
BAHAMAS,Tourism expenditure in the country,,,US$ Millions,1753.0,1665.0,1773.0,1770.0,1897.0,2081.0,2066.0,2198.0,2155.0,2025.0,2159.0,2157.0,2333.0,2305.0,2336.0,2554.0,3091.0,2951.0,3756.0,4150.0,972.0,2334.0,3524.0
BAHAMAS,Travel,,,US$ Millions,1738.0,1648.0,1760.0,1757.0,1884.0,2071.0,2056.0,2187.0,2144.0,2014.0,2147.0,2142.0,2311.0,2285.0,2316.0,2537.0,3074.0,2930.0,3728.0,4125.0,967.0,2322.0,3515.0
BAHAMAS,Passenger transport,,,US$ Millions,15.0,17.0,13.0,13.0,13.0,10.0,10.0,11.0,11.0,11.0,12.0,15.0,22.0,20.0,20.0,17.0,17.0,21.0,28.0,25.0,5.0,12.0,9.0
BAHRAIN,Tourism expenditure in the country,,,US$ Millions,854.0,886.0,985.0,1206.0,1504.0,1603.0,1786.0,1854.0,1927.0,1873.0,2163.0,1766.0,1752.0,1875.0,1913.0,2827.0,4021.0,4380.0,3834.0,3860.0,724.0,1886.0,3886.0
BAHRAIN,Travel,,,US$ Millions,573.0,630.0,740.0,720.0,864.0,920.0,1048.0,1105.0,1166.0,1118.0,1362.0,1035.0,1059.0,1175.0,1208.0,2705.0,3846.0,4245.0,3689.0,3681.0,673.0,1813.0,3802.0
BAHRAIN,Passenger transport,,,US$ Millions,281.0,256.0,245.0,486.0,640.0,683.0,738.0,749.0,761.0,755.0,801.0,731.0,693.0,700.0,705.0,122.0,175.0,135.0,145.0,179.0,51.0,73.0,84.0
BANGLADESH,Tourism expenditure in the country,,,US$ Millions,,,59.0,59.0,76.0,82.0,,,,77.0,103.0,97.0,105.0,131.0,154.0,150.3,214.3,348.0,357.0,391.0,217.9,273.0,420.2
BANGLADESH,Travel,,,US$ Millions,50.0,48.0,57.0,57.0,67.0,75.0,79.0,76.0,75.0,70.0,81.0,87.0,103.0,129.0,153.0,150.0,214.0,341.0,353.0,388.0,217.0,272.0,419.3
BANGLADESH,Passenger transport,,,US$ Millions,,,2.0,2.0,9.0,7.0,,,,7.0,22.0,10.0,2.0,2.0,1.0,0.3,0.3,7.0,4.0,3.0,0.9,1.0,0.9
BARBADOS,Tourism expenditure in the country,,,US$ Millions,795.0,728.0,695.0,840.0,843.0,905.0,1068.0,1198.0,1203.0,1076.0,1041.0,984.0,947.0,988.0,910.0,974.0,1071.0,1081.0,1118.0,1250.0,578.0,627.0,928.6
BARBADOS,Travel,,,US$ Millions,785.0,719.0,687.0,831.0,834.0,897.0,1061.0,1191.0,1196.0,1073.0,1038.0,971.0,929.0,969.0,887.0,947.0,1038.0,1081.0,1118.0,1250.0,578.0,627.0,928.6
BARBADOS,Passenger transport,,,US$ Millions,10.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,3.0,3.0,13.0,18.0,19.0,23.0,27.0,33.0,,,,,,
BELARUS,Tourism expenditure in the country,,,US$ Millions,188.0,272.0,295.0,339.0,362.0,346.0,401.0,479.0,585.0,563.0,665.0,747.0,986.0,1156.0,1230.0,1013.0,1019.0,1124.5,1221.0,1290.0,546.0,662.0,
BELARUS,Travel,,,US$ Millions,93.0,211.0,234.0,267.0,270.0,253.0,286.0,324.0,363.0,370.0,440.0,487.0,685.0,791.0,868.0,729.0,711.0,801.0,883.0,901.0,359.0,427.0,
BELARUS,Passenger transport,,,US$ Millions,95.0,61.0,61.0,72.0,92.0,93.0,115.0,155.0,222.0,193.0,225.0,260.0,301.0,365.0,362.0,284.0,308.0,323.5,338.0,389.0,187.0,235.0,
