Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BAHRAIN,Guests,,Thousands,,,,,,,,,,,,,,,,3964.0,3990.0,4372.0,4366.7,3849.0,827.0,2182.0,3712.0
BAHRAIN,Overnights,,Thousands,,,,,,,,,,,,,,,,8966.0,10987.0,12344.0,12795.0,13177.0,2938.0,8086.0,13034.0
BAHRAIN,hotel_guests,,Thousands,758.0,787.0,686.0,695.0,1132.0,1237.0,1285.0,1320.0,1154.0,1003.0,995.0,821.0,1014.0,1069.0,1431.0,2905.0,3077.0,3893.0,4009.0,3502.0,833.0,1252.0,1931.0
BAHRAIN,hotel_overnights,,Thousands,1764.0,1571.0,1386.0,1290.0,2290.0,2224.0,2477.0,2494.0,2368.0,1964.0,1899.0,1550.0,1835.0,1990.0,2103.0,6682.0,8616.0,10898.0,10916.0,11158.0,2035.0,3842.0,4283.0
BANGLADESH,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,Overnights,,Thousands,2695.0,2460.0,2031.0,2459.0,2463.0,,,,,,,,,,,,,,,,,,
BARBADOS,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELARUS,Guests,,Thousands,262.0,221.0,209.0,229.0,239.0,253.0,292.0,368.0,477.0,512.0,677.0,783.0,993.0,1003.0,1080.0,966.0,1929.0,2000.0,2142.0,2201.0,577.0,787.0,1492.0
BELARUS,Overnights,,Thousands,,,,,,,,,,,,3525.0,4306.0,4279.0,4615.0,3794.0,9035.0,8755.0,9607.0,9537.0,3182.0,5226.0,6233.0
BELARUS,hotel_guests,,Thousands,260.0,219.0,208.0,226.0,236.0,246.0,272.0,304.0,372.0,384.0,505.0,594.0,728.0,740.0,741.0,688.0,813.0,918.0,1037.0,1116.0,320.0,402.0,797.0
BELARUS,hotel_overnights,,Thousands,630.0,517.0,496.0,538.0,575.0,597.0,688.0,791.0,1001.0,1042.0,1226.0,1310.0,1610.0,1612.0,1704.0,1585.0,1737.0,2022.0,2180.0,2398.0,772.0,1102.0,1677.0
BELGIUM,Guests,,Thousands,6457.0,6452.0,6720.0,6690.0,6710.0,6747.0,6995.0,7045.0,7165.0,6815.0,7186.0,7494.0,7560.0,7684.0,7887.0,8355.0,7481.0,8385.0,9119.0,9343.0,2584.0,3243.0,8220.0
BELGIUM,Overnights,,Thousands,15526.0,15373.0,15895.0,15929.0,15545.0,15553.0,16040.0,16271.0,16361.0,15453.0,16170.0,16724.0,16433.0,16512.0,17069.0,18852.0,17063.0,18657.0,20565.0,21205.0,6547.0,7851.0,19378.0
BELGIUM,hotel_guests,,Thousands,5163.0,5117.0,5323.0,5261.0,5385.0,5409.0,5665.0,5713.0,5820.0,5452.0,5772.0,6077.0,6146.0,6228.0,6389.0,6440.0,5557.0,6313.0,6700.0,6800.0,1804.0,2313.0,5728.0
BELGIUM,hotel_overnights,,Thousands,10184.0,10011.0,10410.0,10280.0,10315.0,10297.0,10634.0,10976.0,11120.0,10337.0,10854.0,11436.0,11546.0,11624.0,12082.0,12035.0,10215.0,11632.0,12424.0,12669.0,3480.0,4341.0,10916.0
BELIZE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELIZE,Overnights,,Thousands,,,,,,,,,,,,,,,,622.0,693.0,774.0,824.0,808.0,181.0,786.0,
BELIZE,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELIZE,hotel_overnights,,Thousands,517.0,533.0,536.0,,,,,,,,,,,,,,,,,,,,
BENIN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BENIN,Overnights,,Thousands,200.0,190.0,144.0,219.0,215.0,348.0,321.0,412.0,547.0,,,,,,,,,,,,,,
BENIN,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BENIN,hotel_overnights,,Thousands,,,,,,,,,,910.0,999.0,1059.0,1212.0,1372.0,1336.0,1403.0,1473.0,1547.0,1624.0,1705.0,1791.0,,
BERMUDA,Guests,,Thousands,332.0,278.0,284.0,257.0,272.0,270.0,299.0,306.0,264.0,236.0,232.0,236.0,232.0,236.0,224.0,220.0,244.0,270.0,282.0,269.0,42.1,72.0,146.0
BERMUDA,Overnights,,Thousands,1966.0,1775.0,1822.0,1598.0,1733.0,1729.0,1931.0,1898.0,1679.0,1437.0,1442.0,1429.0,1414.0,,1307.0,1399.0,1499.0,1687.0,1651.0,1607.0,418.0,641.0,1006.0
BERMUDA,hotel_guests,,Thousands,,,220.0,196.0,206.0,207.0,227.0,230.0,189.0,171.0,171.0,177.0,174.0,175.0,161.0,158.0,182.0,189.0,204.0,194.0,27.4,44.0,99.0
BERMUDA,hotel_overnights,,Thousands,,1135.0,1175.0,995.0,1057.0,1047.0,1159.0,1120.0,948.0,827.0,845.0,876.0,845.0,,781.0,760.0,859.0,894.0,945.0,911.0,181.0,273.0,507.0
BHUTAN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,hotel_overnights,,Thousands,61.0,53.0,47.0,49.0,74.0,74.0,,170.0,220.0,179.0,207.0,277.0,303.0,303.0,371.0,341.0,363.0,408.0,420.0,2210.0,216.0,0.113,
"BOLIVIA, PLURINATIONAL STATE OF",Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
"BOLIVIA, PLURINATIONAL STATE OF",Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
