Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BOLIVIA, PLURINATIONAL STATE OF",Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
"BOLIVIA, PLURINATIONAL STATE OF",Overnights visitors (tourists),Thousands,319.0,316.0,334.0,427.0,480.0,524.0,521.0,573.0,530.0,599.0,679.0,711.0,798.0,798.0,871.0,882.0,961.0,1109.0,1142.0,1239.0,323.3,180.0,724.0
"BOLIVIA, PLURINATIONAL STATE OF",Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
"BOLIVIA, PLURINATIONAL STATE OF","of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BONAIRE,Total arrivals,Thousands,96.0,94.0,94.0,107.0,116.0,103.0,126.0,172.0,250.0,280.0,297.0,,,,,,,,,,,,
BONAIRE,Overnights visitors (tourists),Thousands,51.0,50.0,52.0,62.0,63.0,63.0,64.0,74.0,74.0,67.0,71.0,,,,,,,,,,,,
BONAIRE,Same-day visitors (excursionists),Thousands,45.0,44.0,42.0,45.0,53.0,40.0,62.0,98.0,176.0,213.0,226.0,,,,,,,,,,,,
BONAIRE,"of which, cruise passengers",Thousands,44.0,43.0,42.0,45.0,53.0,40.0,62.0,98.0,176.0,213.0,226.0,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,Overnights visitors (tourists),Thousands,171.0,139.0,160.0,165.0,190.0,217.0,256.0,306.0,322.0,311.0,365.0,392.0,439.0,529.0,536.0,678.0,778.0,923.0,1053.0,1198.0,197.0,502.0,915.0
BOSNIA AND HERZEGOVINA,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOTSWANA,Total arrivals,Thousands,1306.0,1451.0,1485.0,1592.0,1727.0,1684.0,1642.0,1965.0,2344.0,,,,,,,1660.0,1712.0,1775.0,1830.0,1555.4,358.2,338.0,
BOTSWANA,Overnights visitors (tourists),Thousands,1104.0,1193.0,1274.0,1406.0,1523.0,1474.0,1426.0,1736.0,2101.0,1721.0,1973.0,,1614.0,1544.0,1966.0,1528.0,1574.0,1623.0,1655.0,1454.6,328.5,314.0,
BOTSWANA,Same-day visitors (excursionists),Thousands,202.0,257.0,211.0,187.0,204.0,210.0,216.0,229.0,243.0,,,,,,,132.0,138.0,152.0,176.0,100.8,29.7,24.0,
BOTSWANA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
