Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BARBADOS,Total,,Thousands,1078.0,1035.0,1021.0,1090.0,1273.0,1111.0,1101.0,1191.0,1165.0,1154.0,1197.0,1187.0,1053.0,1079.0,1079.0,1179.0,1227.0,1345.0,1356.1,965.7,545.8,242.20000000000002,897.6
BARBADOS,Air,,Thousands,538.0,498.0,492.0,526.0,546.0,544.0,557.0,575.0,568.0,519.0,532.0,568.0,536.0,509.0,521.0,592.0,632.0,664.0,680.3,522.6,207.4,144.8,539.7
BARBADOS,Water,,Thousands,540.0,537.0,529.0,564.0,727.0,567.0,544.0,616.0,597.0,635.0,665.0,619.0,517.0,570.0,558.0,587.0,595.0,681.0,675.8,443.1,338.4,97.4,357.9
BARBADOS,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELARUS,Total,,Thousands,,,,,,,5168.0,5177.0,5181.0,4725.0,5533.0,5682.0,5910.0,5953.0,5092.0,4179.0,10278.4,10444.3,11100.5,11427.2,3463.1000000000004,3241.7,4714.599999999999
BELARUS,Air,,Thousands,,,,,,,122.0,162.0,194.0,200.0,231.0,256.0,253.0,268.0,294.0,324.0,818.1,992.1,1084.9,1198.9,438.4,414.2,416.4
BELARUS,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELARUS,Land,,Thousands,,,,,,,5046.0,5015.0,4987.0,4525.0,5302.0,5426.0,5657.0,5685.0,4798.0,3855.0,9460.3,9452.199999999999,10015.6,10228.300000000001,3024.7000000000003,2827.5,4298.2
BELGIUM,Total,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,Air,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELIZE,Total,,Thousands,196.0,196.0,200.0,220.0,231.0,237.0,247.0,252.0,245.0,940.0,1053.0,1106.0,1028.0,1022.5,1289.0,1299.1,1390.6000000000001,1441.4,1697.4,1674.1000000000001,487.19999999999993,437.2,
BELIZE,Air,,Thousands,132.0,134.0,130.0,152.0,163.0,175.0,179.0,183.0,178.0,168.0,172.0,182.0,212.0,223.5,239.0,255.9,298.2,322.2,369.5,384.4,110.4,201.6,
BELIZE,Water,,Thousands,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,715.0,789.0,747.0,651.0,688.0,979.0,967.6,1014.0,1024.0,1217.5,1182.0,349.4,212.9,
BELIZE,Land,,Thousands,55.0,53.0,62.0,60.0,60.0,54.0,60.0,59.0,57.0,57.0,92.0,177.0,165.0,111.0,71.0,75.6,78.4,95.2,110.4,107.7,27.4,22.7,
BENIN,Total,,Thousands,96.3,,,,,,,185.0,188.0,190.0,199.0,209.0,220.0,230.9,242.39999999999998,254.6,267.3,280.79999999999995,294.8,309.4,324.9,,
BENIN,Air,,Thousands,62.0,,,,,,,81.0,71.0,81.0,88.0,73.0,95.0,107.4,97.5,99.7,105.6,112.4,114.7,115.0,121.1,,
BENIN,Water,,Thousands,0.3,,,,,,,7.0,27.0,8.0,25.0,23.0,19.0,20.2,19.3,21.4,22.4,23.2,18.7,19.9,22.4,,
BENIN,Land,,Thousands,34.0,,,,,,,97.0,90.0,101.0,86.0,113.0,106.0,103.3,125.6,133.5,139.3,145.2,161.4,174.5,181.4,,
BERMUDA,Total,,Thousands,539.0,458.0,484.0,483.0,478.0,517.0,635.0,660.0,550.0,554.0,580.0,652.0,610.0,576.0,580.0,597.0,642.0,687.6,766.0,805.0,51.400000000000006,86.4,548.6
BERMUDA,Air,,Thousands,332.0,278.0,284.0,257.0,272.0,270.0,299.0,306.0,264.0,236.0,232.0,236.0,232.0,236.0,224.0,220.0,244.0,269.6,282.0,269.0,42.1,72.2,145.9
BERMUDA,Water,,Thousands,207.0,180.0,200.0,226.0,206.0,247.0,336.0,354.0,286.0,318.0,348.0,416.0,378.0,340.0,356.0,377.0,398.0,418.0,484.0,536.0,9.3,14.2,402.7
BERMUDA,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,Total,,Thousands,7.6,6.4,5.6,6.199999999999999,9.2,13.6,17.3,21.0,28.0,23.0,41.0,66.0,105.4,116.3,133.4,155.0,209.5,254.7,274.1,315.6,29.8,0.001,20.9
