Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BAHRAIN,Overnights,,Thousands,,,,,,,,,,,,,,,,,103.0,91.0,145.0,171.0,345.0,561.0,
BAHRAIN,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,55.0,48.0,86.0,100.0,,,
BAHRAIN,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,103.0,91.0,145.0,171.0,,,
BANGLADESH,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BARBADOS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELARUS,Guests,,Thousands,1717.0,1742.0,1505.0,1646.0,1686.0,1702.0,1722.0,1751.0,1734.0,1636.0,1666.0,1768.0,1898.0,1907.0,2332.0,2226.0,2292.0,2442.0,2629.0,2717.0,2215.0,2894.0,2888.0
BELARUS,Overnights,,Thousands,,,,,,,,,,,,10067.0,10383.0,10602.0,11612.0,11146.0,10946.0,11350.0,12477.0,11910.0,10562.0,12746.0,12786.0
BELARUS,hotel_guests,,Thousands,1187.0,1109.0,862.0,989.0,1030.0,1084.0,1171.0,1184.0,1174.0,1098.0,1127.0,1144.0,1097.0,1065.0,998.0,918.0,885.0,888.0,970.0,965.0,751.0,1073.0,1101.0
BELARUS,hotel_overnights,,Thousands,3375.0,3151.0,2483.0,2749.0,2926.0,3306.0,3649.0,3739.0,3624.0,3275.0,3172.0,3071.0,2902.0,2906.0,2707.0,2291.0,2090.0,2016.0,2140.0,2182.0,1891.0,2386.0,2379.0
BELGIUM,Guests,,Thousands,4267.0,4355.0,4333.0,4382.0,4448.0,4572.0,4806.0,5068.0,5265.0,5431.0,5802.0,6124.0,6313.0,6468.0,6754.0,7492.0,7729.0,7934.0,8441.0,8714.0,4792.0,7729.0,9406.0
BELGIUM,Overnights,,Thousands,13689.0,13321.0,13177.0,13089.0,12950.0,12827.0,13332.0,13578.0,13611.0,13803.0,14128.0,14656.0,14835.0,14936.0,15537.0,19528.0,19792.0,20020.0,20756.0,21308.0,13631.0,21370.0,23646.0
BELGIUM,hotel_guests,,Thousands,2048.0,2093.0,2103.0,2119.0,2208.0,2364.0,2596.0,2877.0,3081.0,3218.0,3601.0,3883.0,3806.0,3947.0,4175.0,4304.0,4326.0,4492.0,4801.0,4954.0,2538.0,3996.0,5077.0
BELGIUM,hotel_overnights,,Thousands,4045.0,4057.0,4091.0,4061.0,4090.0,4313.0,4737.0,5220.0,5422.0,5606.0,6169.0,6529.0,6328.0,6525.0,6926.0,7048.0,6968.0,7313.0,7858.0,8126.0,4243.0,6559.0,8421.0
BELIZE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELIZE,Overnights,,Thousands,61.0,56.0,80.0,,,,,,,,,,,,,,,,,,,,
BELIZE,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BELIZE,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BENIN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BENIN,Overnights,,Thousands,,,,,,,138.0,150.0,158.0,,,,,,,,,,,,,,
BENIN,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BENIN,hotel_overnights,,Thousands,23.0,20.0,,,,,,,,,,,,,,,,,,,,,
BERMUDA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BERMUDA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BERMUDA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BERMUDA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
"BOLIVIA, PLURINATIONAL STATE OF",Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
"BOLIVIA, PLURINATIONAL STATE OF",Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
"BOLIVIA, PLURINATIONAL STATE OF",hotel_guests,,Thousands,658.0,673.0,742.0,775.0,871.0,933.0,1088.0,1092.0,1129.0,1151.0,1197.0,1299.0,1367.0,1507.0,1559.0,1570.0,1581.0,1597.0,1553.0,1535.0,499.0,764.0,1077.0
