Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AZERBAIJAN,Business and professional,,Thousands,606.0,718.0,775.0,935.0,1130.0,287.0,284.0,305.0,394.0,380.0,548.0,592.0,595.0,649.0,670.4,632.3,691.7,834.4,787.4,850.5,177.5,196.7,400.5
BAHAMAS,Total,,Thousands,1544.0,1538.0,1513.0,1505.3,1560.6999999999998,1625.1,1613.1999999999998,1537.8999999999999,1468.6,1335.9999999999998,1378.3999999999999,1355.0,1431.0,1377.2,1443.5,1496.3,1498.7,1452.0,1632.6,1806.8999999999999,440.6,892.4,1452.3999999999999
BAHAMAS,Personal,,Thousands,1364.0,1376.0,1357.0,1361.5,1415.6999999999998,1474.1,1486.6,1396.3,1343.0,1244.6999999999998,1303.3999999999999,1261.6,1330.8,1278.1000000000001,1353.7,1389.7,1391.8,1365.1,1530.8,1695.6,402.3,861.1,1368.3999999999999
BAHAMAS,Business and professional,,Thousands,180.0,162.0,156.0,143.8,145.0,151.0,126.6,141.6,125.6,91.3,75.0,93.4,100.2,99.1,89.8,106.6,106.9,86.9,101.8,111.3,38.3,31.3,84.0
BAHRAIN,Total,,Thousands,3869.0,4388.0,4831.0,4844.0,5667.0,6314.0,7289.0,7833.0,8631.0,,,6732.0,,,,9669.5,10158.0,11374.0,12044.7,11061.2,1909.0,3612.0,9948.6
BAHRAIN,Personal,,Thousands,3610.0,4058.0,4412.0,4302.0,5020.0,5687.0,6421.0,6788.0,7362.0,,,6082.0,,,,7275.5,8632.0,10697.0,11220.5,10166.0,1770.5,3413.6,9551.2
BAHRAIN,Business and professional,,Thousands,259.0,330.0,419.0,542.0,647.0,627.0,868.0,1045.0,1269.0,,,650.0,,,,2394.0,1526.0,677.0,824.2,895.2,138.5,198.4,397.4
BANGLADESH,Total,,Thousands,199.0,207.0,207.0,245.0,271.0,208.0,200.0,289.0,467.0,267.0,,,,,,,,,,,,,
BANGLADESH,Personal,,Thousands,159.0,173.0,177.0,211.0,216.0,105.0,109.0,156.0,340.0,145.0,,,,,,,,,,,,,
BANGLADESH,Business and professional,,Thousands,40.0,34.0,30.0,34.0,55.0,103.0,91.0,133.0,127.0,122.0,,,,,,,,,,,,,
BARBADOS,Total,,Thousands,545.0,507.0,497.0,531.0,551.0,548.0,563.0,574.0,568.0,518.0,532.0,568.0,536.0,509.0,520.8,592.3000000000001,632.1,663.6,680.1999999999999,522.5,207.29999999999998,144.8,539.7
BARBADOS,Personal,,Thousands,485.0,450.0,439.0,466.0,481.0,476.0,503.0,516.0,508.0,463.0,479.0,514.0,485.0,451.0,462.2,533.2,573.9,609.8000000000001,628.4,477.29999999999995,184.39999999999998,131.9,474.7
BARBADOS,Business and professional,,Thousands,60.0,57.0,58.0,65.0,70.0,72.0,60.0,58.0,60.0,55.0,53.0,54.0,51.0,58.0,58.6,59.1,58.2,53.8,51.8,45.2,22.9,12.9,65.0
BELARUS,Total,,Thousands,2030.0,1852.0,1907.0,1729.0,1816.0,4738.0,5276.0,5283.0,5262.0,4872.0,5674.0,5877.0,6130.0,6242.0,5375.0,4386.0,10935.0,11060.0,11501.6,11832.0,3598.3999999999996,3361.0000000000005,4920.400000000001
BELARUS,Personal,,Thousands,1795.0,1592.0,1727.0,1515.0,1566.0,4324.0,4751.0,4837.0,4837.0,4505.0,5302.0,5464.0,5723.0,5866.0,5026.0,4105.0,8179.0,8273.0,8833.2,8939.1,2775.1,2632.1000000000004,4188.1
BELARUS,Business and professional,,Thousands,235.0,260.0,180.0,214.0,250.0,414.0,525.0,446.0,425.0,367.0,372.0,413.0,407.0,376.0,349.0,281.0,2756.0,2787.0,2668.4,2892.9,823.3,728.9,732.3
BELGIUM,Total,,Thousands,6457.0,6452.0,6719.0,6690.0,6710.0,6747.0,6995.0,7045.0,7164.0,6815.0,7186.0,7494.0,7560.0,7684.0,7887.4,8354.7,7481.4,8384.5,9118.8,9343.3,2584.0,3243.1000000000004,8220.2
BELGIUM,Personal,,Thousands,3974.0,4054.0,4319.0,4406.0,4377.0,4381.0,4503.0,4605.0,4588.0,4532.0,4779.0,4886.0,4772.0,4846.0,5045.2,5450.2,4809.8,5444.4,6048.4,6194.9,1744.0,2207.4,5848.8
BELGIUM,Business and professional,,Thousands,2483.0,2398.0,2400.0,2284.0,2333.0,2366.0,2492.0,2440.0,2576.0,2283.0,2407.0,2608.0,2788.0,2838.0,2842.2,2904.5,2671.6,2940.1,3070.4,3148.4,840.0,1035.7,2371.4
BELIZE,Total,,Thousands,196.0,196.0,199.0,221.0,231.0,237.0,247.0,251.0,245.0,232.0,242.0,250.0,277.0,294.0,321.0,341.1,385.59999999999997,427.0,489.2,503.2,144.1,219.1,
BELIZE,Personal,,Thousands,187.0,186.0,186.0,208.0,219.0,225.0,235.0,238.0,235.0,222.0,231.0,238.0,264.0,281.0,304.0,326.1,371.4,410.0,477.8,490.0,135.1,203.5,
